Table 1. Sampling for Euphoniinae species and outgroups.,,,,,,,,,
Specie,Country,Catalog number,Collection,NextRAD,ND2,,,,
Euphonia xanthogaster,Perú,B21214,LSUMNS,O,O,,,,
Euphonia saturata,Perú,B67621,LSUMNS,O,O,,,,
Euphonia saturata,Ecuador,19715,ANSP,O,X,,,,
Euphonia trinitatis (Toe pads),Venezuela,121134,AMNH,,X,,,,
Euphonia trinitatis (Toe pads),Venezuela,121136,AMNH,,X,,,,
Euphonia violacea,Guiana,21739,ANSP,O,O,,,,
Euphonia violacea,TYT,B35986,LSUMNS,O,O,,,,
Euphonia violacea,Guiana,21748,ANSP,O,O,,,,
Euphonia violacea,Brasil,427255,FMNH,O,O,,,,
Euphonia violacea,Brasil,427264,FMNH,O,O,,,,
Haemothrous mexicanus,México,CPM357,MZFC,O,O,,,,
Passer domesticus,México,DONA 1408,MZFC,O,O,,,,
Rhodinocichla rosea,México,URRA4120,MZFC,O,X,,,,
O= Obtained Sequences X= No obtained sequences.,,,,,,,,,
